Analisis dan Optimasi Kinerja hotspot menggunakan teknik  Wireless Distribution System (WDS) Pada Hotspot UAD;Dr. Imam Riyadi, M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Analisis dan Optimasi Media Sosial Sebagai Pendukung E-Learning Dalam Pembelajaran di Universitas Ahmad Dahlan Yogyakarta;Ali Tarmuji, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.
Analisis dan Pembuatan Model CRM pada Hotel Citra;Ali Tarmuji, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Analisis dan Pemodelan Perencanaan Architecture Enterprise pada Home Stay Venezia Menggunakan Metode Zachman Framework;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Analisis Dan Pemodelan Sistem Informasi Stok Gudang Di Koperasi DISHUTBUN Cianjur Menggunakan SCM;Arfiani Nur Khusna, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Analisis dan Penerapan SGO (Search Engine Optimization) dan SMO (Social Media Optimization) pada Website Fakultas;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Analisis Dan Perancangan Proses Bisnis Dan Basis Data Untuk SIM (Sistem Informasi  Managemen) LSP AD;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA., S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Analisis dan Perancangan Proxy Server Menggunakan Virtual Machine;Dr. Imam Riyadi, M.Kom.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Analisis dan Perancangan Sistem Inventory Sapre Part Elektronik ( Studi Kasus di CV Human Global Service);Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.
"Analisis dan Perancangan Web Sistem Pengelolaan Zakat Berbasis Rich Internet Application ""AJAX""";Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Analisis Forensik Jaringan Terhadap Serangan Man In The Middle Attack (MTMA) Menggunakan Metode Live Forensik;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Mushlihuddin, S.T., M.T.
Analisis forensik router pada jaringan komputer menggunakan metode live forensic;Dr. Imam Riyadi, M.Kom.;Taufiq Ismail, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Analisis Forensik Whatsapp Messanger Berbasis Android Menggunakan Metode Text Mining;Dr. Imam Riyadi, M.Kom.;Nur Rochmah DPA, S.T., M.Kom.;Eko Aribowo, S.T., M.Kom.
Analisis Investasi Pada Rumah Kontrakan dengan menggunakan metode fuzzy;Ir. Ardi Pujiyanta, M.T.;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.
Analisis Keamanan User Pada Moodle Berdasarkan Pada Leveling User dan Metode Enkripsi;Eko Aribowo, S.T., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Taufiq Ismail, S.T., M.Cs.
Analisis Keamanan VPN (Virtual Private Network) Menggunakan Open VPN (Studi Kasus Lab. Riset T. Informatika UAD);Dr. Imam Riyadi, M.Kom.;Taufiq Ismail, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.
Analisis Kesuksessan Sistem Informasi Pemasaran Berbasis Online (Website) Dengan Pendekatan Model Delone Dan Mclean;Sri Handayaningsih, S.T., M.T.;Arfiani Nur Khusna, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.
Analisis Kinerja Conference Berbasis Wireless;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Analisis Kinerja Jaringan Wireless LAN dengan Menggunakan Metode Qualiy Of Service;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.
Analisis Kinerja Website Dengan Teknik Search Engine Optimization Office;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Analisis Kinerja Website Universitas Ahmad Dahlan Dengan Teknik SEO on Page;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Analisis Manajemen Resiko Pada Layanan Proses Bisnis Pengunduran Diri Mahasiswa;Sri Handayaningsih, S.T., M.T.;Dr. Imam Riyadi, M.Kom.;Drs. Tedy Setiadi, M.T.
Analisis Penerapan Digital Signature Algoritma Elgamal pada Sistem Informasi Penggajian;Nur Rochmah DPA, S.T., M.Kom.;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.
Analisis Penerimaan Pengguna Terhadap Penggunaan Sistem Informasi Managemen Ruang Menggunakan Teknologi Acceptance Model;Sri Handayaningsih, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Analisis Perbandingan Algoritma Apriori dan Algoritma Hash Based pada Market Basket Analysis di Apotek UAD;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Analisis Perbandingan Antara Metode Huffman dan Run Length Encoding (RLE) Pada Kompresi Citra Medik;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Analisis Perbandingan Kinerja Server IIX dan International Membangun Teknologi Cloud Server;Dr. Imam Riyadi, M.Kom.;Ardiansyah, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Analisis Perbandingan Metode High Pass Intensity Filtering dan Metode Median Filtering Untuk Pengurangan Derau pada Citra Digital;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Kartika Firdaus, S.T., M.T.
Analisis Perbandingan Metode Keamanan Wireless WEP128BIT Dan WPA Untuk Meningkatkan Keamanan Wireless;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Taufiq Ismail, S.T., M.Cs.
Analisis Perbandingan Model Berbard, LI dan SHI pada Proses Segmentasi Citra Digital;Murinto, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Kartika Firdaus, S.T., M.T.
Analisis Perbandingan Segmentasi Citra Digital Menggunakan Metode Level-Set Caselles, Chan & Vese dan Lankton ;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Kartika Firdaus, S.T., M.T.
Analisis Perbandingan Two Dimensional Median Filter dan Multilevel Median Filter pada Filtering Citra Digital;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Sri Winiarti, S.T., M.Cs.
Analisis Perencanaan Strategi Sistem Informasi Menggunakan Metode Ward and Peppard Studi Kasus Distro Sideback Yogyakarta;Arfiani Nur Khusna, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Analisis Prediksi Jumlah Produksi Kakao di wilayah Kecamatan Kalibawang Berdasarkan Data Cuaca Menggunakan Metode ANFIS ;Drs. Tedy Setiadi, M.T.;Lisna Zahrotun, S.T., M.Cs.;Adhi Prahara, S.Si., M.Cs.
Analisis Quality Of Service (QOS) dan Optimalisasi Mode Wireless Hotspot Menggunakan Teknik Wireless Distribution System (WDS) (Studi Kasus : Hotspot Kampus III Universitas Ahmad Dahlan);Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Taufiq Ismail, S.T., M.Cs.
Analisis Quality of Service Streaming dan Download untuk Meningkatkan Kinerja Jaringan pada LSBO PP Muhammadiyah Yogyakarta;Dr. Imam Riyadi, M.Kom.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Analisis sintak pada aplikasi terjemahan bahasa Indonesia ke bahasa Banyumas;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Sri Handayaningsih, S.T., M.T.
Analisis Website Universitas Ahmad Dahlan dengan Metode Usability Testing;Ali Tarmuji, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Animasi 2D Berbasis Limited Cut Animation dan Post Planning Animation untuk meningkatkan Pemahaman Terhadap Tokoh Gatotkaca bagi Anak-Anak SMP.;Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Animasi Dongen Kancil dan Buaya Pesan Moral untuk anak-anak berbasis multimedia;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T.
Animasi Iklan Bahaya Anemia pada Ibu Hamil;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Animasi K3 dalam Meningkatkan Protocol Keselamatan Kerja di PT. PLN Persero Wilayah NTB Area Sumbawa;Murinto, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Animasi Kesehatan Gigi dan Mulut dengan Demonstrasi Cara Menyikat Gigi  Pada Anak-anak;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Animasi Penyuluhan Pemilu;Fiftin Novianto, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Animasi Penyuluhan Siaga Bencana Gempa Bumi;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Animasi Prosedure pembuatan dan perpanjangan SIM;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Animasi Simulasi Penanganan Awal Terjadinya Kebakaran di Gedung Rumah Sakit Bertingkat;Fiftin Novianto, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Murinto, S.Si., M.Kom.
Aplikasi Android Pengelolaan Keuangan Keluarga Modul Perencanaan Keuangan Masa depan Berbasis Webservice;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Android Sebagai Sarana Periklanan Menggunakan QR Code;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Taufiq Ismail, S.T., M.Cs.
Aplikasi Bantu Pembelajaran dengan Topik Belajar Membuat Surat dan Laporan Hasil Pengamatan Untuk SD Kelas 5 Berbasis Multimedia;Drs. Wahyu Pujiyono, M. Kom.;Dewi Soyusiawaty, S.T., M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Bantu Pembelajaran Meyode Greedy pada MK strategi algoritma berbasis multimedia;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Aplikasi Bantu Pembelajaran Sistem Persamaan Linier Menggunakan Metode Gauss Jordan dan metode Cramer pada Mata Kuliah Aljabar Linier dan Matriks.;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Aplikasi Bantu Pengolahan Nilai Indeks Kinerja Dosen (SK FTI UAD);Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Drs. Tedy Setiadi, M.T.
Aplikasi Bantu Untuk Menentukan Nilai Eigen dan Vektor Eigen Berbasis Multimedia;Ir. Ardi Pujiyanta, M.T.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Aplikasi Bantu untuk Pengajuan Sertifikasi Guru;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.
Aplikasi big book Berbasis Multimedia dengan Metode Story Telling untuk meningkatkan minat baca anak (Studi Kasus KB Yudhistira);Drs. Wahyu Pujiyono, M. Kom.;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Aplikasi Billing Warnet Berbasis Client Server menggunakan Mecrosoft Winsock Control 60;Drs. Wahyu Pujiyono, M. Kom.;Ali Tarmuji, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Aplikasi Cek Pembayaran Dan Notifikasi Pembayaran Berbasis SMS Gateway PBB-P2 DPPKAD Kabupaten Cilacap;Drs. Wahyu Pujiyono, M.Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Client Server Pendaftaran Siswa baru SMKN 1 Woja Berbasis Web Dengan Metode Pieces;Fiftin Noviyanto, S.T., M.Cs.;Lisna Zahrotun, S.T., M.Cs.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Cuti Online pada PT Gunung Bayan Pratama Coal Balikpapan;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.;Sri Handayaningsih, S.T., M.T.
Aplikasi Dasar-Dasar Penggunaan kamera DSLR Berbasis Multimedia;Fiftin Novianto, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Murinto, S.Si., M.Kom.
Aplikasi data mining untuk menentukan rekomendasi beasiswa prestasi di SMP N 1 Bawang Banjar Negara;Dewi Soyusiawaty, S.T., M.T.;Lisna Zahrotun, S.T., M.Cs.;Dewi Pramudi Ismi, S.T., M.CompSc
Aplikasi Data Mining Untuk Mengklasifikasikan Sekolah Dasar Mendapat Akreditasi Sangat Baik (A) menggunakan Algotirma C45;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.;Andri Pranolo, S.T., M.Cs.
Aplikasi Deteksi Kerusakan atau cacat Pada Sambungan Las Menggunakan Metode Region Growing;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Deteksi Tepi Untuk Klasifikasi Kualitas Genteng Menggunakan Metode Deteksi Tepi laplacian of Gaussian;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Drs. Tedy Setiadi, M.T.
Aplikasi Deteksi Tepi Untuk Menentukan Kualitas Mutu Citra Belimbing Manis Menggunakan Metode Laplacan of gaussian;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi E-Voting Untuk Pemilihan Umum Organisasi Mahasiswa Menggunakan Internet Voting (IV) (Studi Kasus HMTIF Universitas Ahmad Dahlan);Fiftin Novianto, S.T., M.Cs.;Drs. Tedy Setiadi, M.T.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasi Enkripsi Deskripsi Pada SMS dengan Algoritma AES Mode Operasi CBC Berbasis CBC;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Nur Rochmah DPA, S.T., M.Kom.
Aplikasi Enkripsi SMS dengan Metode Kombinasi Vigenere Cipher dan RC4 Berbasis J2mE;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Game Bajak Laut Berbasis Java J2ME;Mursid WH, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Game Pewayangan Gatot Kaca;Drs. Wahyu Pujiyono, M. Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Game Pewayangan Kisah Hanoman Duta;Fiftin Noviyanto, S.T., M.Cs.;Ir. Ardi Pujiyanta, M.T;Yana Hendriana, S.T., M.Eng.
Aplikasi Game Seribu Candi Bandung Bondowoso dan Roro Jongrang;Dewi Soyusiawati, S.T., M.T.;Murinto, S.Si., M.Kom.;Arfiani Nur Khusna, S.T., M.Kom.
Aplikasi Game Side Scrolling Joko Tarub dan 7 Bidadari;Fiftin Novianto, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Drs. Tedy Setiadi, M.T.
Aplikasi Game Tembakan Pada Perangkat Mobile;Eko Aribowo, S.T., M.Kom.;Mursid WH, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Game Tradisional Benthik Berbasis Dekstop;Drs. Tedy Setiadi, M.T.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Game tradisional berbasis dekstop pd permainan congklak;Mursid WH, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Inventarisasi Lokasi Pariwisata Kabupaten Lombok Tengah Berbasis Web Mobile;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Aplikasi Jarimatika Tambah Kurang untuk Anak Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Sri Winiarti, S.T., M.Cs.
Aplikasi Jaringan Syaraf Tiruan Berbasis Web Untuk Diagnosa Penyakit Pada Tanaman Cabai Menggunakan Metode Back Propagation;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Kamus Undak Usuh Basa Sunda;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Kamus Bahasa Indonesia - Lampung Dengan Pendekatan Metode Rule Base;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
Aplikasi Kamus Bahasa SUmbawa Ke Indonesia dan Sebaliknya menggunakan Sequence Search Berbasis Web;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Dewi Pramudi Ismi, S.T., M.CompSc
Aplikasi kamus Penerjemah Bahasa Indonesia - Bima;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Eko Aribowo, S.T., M.Kom.
Aplikasi Kamus Penterjemah Bahasa Jawa Krama ke Bahasa Indonesia dan Bahasa Indonesia ke Bahasa Jawa Krama;Dewi Soyusiawati, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Kamus Terjemahan Bahasa Indonesia ke Bahasa Ternate dan Bahasa Ternate ke Bahasa Indonesia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Kartu Nama Virtual Berbasis Web Mobile;Ardiansyah, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Kasir Tablet Portable POS (Point of Sale) Yang Terintegrasi Dengan Printer Portable;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Mushlihuddin, S.T., M.T.
Aplikasi keamanan komputer Menggunakan Flash Drive dengan Metode Algoritma MD 5;Eko Aribowo, S.T., M.Kom.;Dr. Abdul Fadlil, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Konsultasi Siswa dengan Pendekatan Sistem Pakar (Studi Kasus MTsN Prambanan Klaten);Sri Winiarti, S.T., M.Cs.;Eko Aribowo, S.T., M.Kom.;Nur Rochmah DPA, S.T., M.Kom.
Aplikasi Konten Digital Sebagai Potofolio Mahasiswa Berbasis Web Framework;Fiftin Novianto, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Aplikasi M-Edukasi Dengan Layanan Berbasis Lokasi di Kebun Binatang Gembira Loka Dengan Memanfaatkan GPS;Herman Yuliansyah, S.T., M.Eng.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Managemen Keuangan Pribadi Berbnasis Web 2.0;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Aplikasi Media Pembelajaran Panca Indra Manusia Berasis Multimedia dengan Konsep Computer Aided Instruction untuk Meningkatkan Nilai Rata-Rata kelas IV di SD Negeri Rakam.;Drs. Wahyu Pujiyono, M. Kom.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Mendeteksi Buah Sawit Siap Panen Berdasarkan Indeks Warna Dengan Perbandingan Kadar Warna Grayscale;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.;Andri Pranolo, S.T., M.Cs.
Aplikasi Mengenal Huruf dan Angka Menggunakan Warna di Paud Darul Ulum;Mursid WH, S.Si., M.Kom..;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.
Aplikasi Metode Region Growing Untuk Monitoring Pertumbuhan panjang Kecambah;Murinto, S.Si., M.Kom.;Kartika Firdaus, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Aplikasi Mobile Commerce Untuk Usaha Kecil Menengah Dengan Metode Android Push Notification Service;Fiftin Novianto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.
Aplikasi Mobile Kumpulan Doa Harian Islam untuk Mempermudah Menghafal Doa Berbasis Android;Ardiansyah, S.T., M.Cs.;Drs. Wahyu Pujiono, M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Mobile Learning Untuk Pembelajaran Aksara Jawa Secara Interaktif Berbasis Android Gesture;Nur Rochmah DPA, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Ardiansyah, S.T., M.Cs.
Aplikasi Multimedia Coaching Clinik Teknik-teknik Dasar Sepakbola pada Handphone;Sri Handayaningsih, S.T., M.T.;Eko Aribowo, S.T., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Multimedia Interaktif Sebagai Sarana Informasi Pariwisata dan Budaya kabupaten Wonosobo dengan Dua Bahasa;Ir. Ardi Pujiyanta, M.T.;Sri Winiarti, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Multimedia pada Museum Kesultanan Ternate Berbasis Web;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Multimedia Pariwisata dan Kebudayaan di Brebes;Ardiansyah, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Multimedia Pariwisata Kabupaten bantul Sebagai sarana Informasi;Mursid WH, S.Si., M.Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Multimedia Pembelajaran Bahasa Inggris tentang Grammar Level Basic;Dewi Soyusiawaty, S.T., M.T.;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Multimedia Pembelajaran Jaringan Syaraf Tiruan Pada Materi Perceptron;Ir. Ardi Pujiyanta, M.T.;Dr. Abdul Fadlil, M.T.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Multimedia Pembelajaran MTK tentang matriks pada SMA kelas X;Drs. Tedy Setiadi, M.T.;Ardiansyah, S.T., M.Cs.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Multimedia Pembelajaran Pembacaan Not Pada Lagu Daerah Untuk Anak Sekolah Dasar;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Dewi Soyusiawaty, S.T., M.T.
Aplikasi Multimedia Pembelajaran Tentang Memori Menggunakan Adobe Flash;Dr. Imam Riyadi, M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Eko Aribowo, S.T., M.Kom.
Aplikasi Multimedia Pengenalan Tata Surya Menggunakan 3D Max;Murinto, S.Si., M.Kom.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Multimedia Sebagai Media Informasi pada Pengenalan Monumen Yogya Kembali Yogyakarta;Murinto, S.Si., M.Kom.;Ardiansyah, S.T., M.Cs.;Sri Winiarti, S.T., M.Cs.
Aplikasi Multimedia Untuk Penyajian Informasi Candi Prmbanan;Drs. Muchlas, M.T.;Drs. Wahyu Pujiono, M.Kom.;Ardiansyah, S.T., M.Cs.
Aplikasi Native Front End Pemesanan Menu Restoran Menggunakan Web Service;Ardiansyah, S.T., M.Cs.;Fiftin Noviyanto, S.T., M.Cs.;Herman Yuliansyah, S.T., M.Eng.
Aplikasi Pembelajaran Aksara Kagangapa Untuk Sekolah Dasar Berbasis Multimedia;Dewi Soyusiawati, S.T., M.T.;Drs. Wahyu Pujiono, M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pembelajaran Alat Gamelan Degung Sunda Untuk Komisariat Daerah Jawa Barat - Yogyakarta Berbasis Multimedia;Murinto, S.Si., M.Kom.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Aplikasi Pembelajaran Bahasa Indonesia - Batak Berbasis Multimedia;Dewi Soyusiawaty, S.T., M.T.;Drs. Tedy Setiadi, M.T.;Murinto, S.Si., M.Kom.
